Watched,Original Title,IMDb Rating,Runtime (mins),Year,Genres,URL
True,Joker,8.4,122,2019,"Crime, Drama, Thriller",https://www.imdb.com/title/tt7286456/
True,Good Will Hunting,8.3,126,1997,"Drama, Romance",https://www.imdb.com/title/tt0119217/
True,3 Idiots,8.4,170,2009,"Comedy, Drama",https://www.imdb.com/title/tt1187043/
True,Eternal Sunshine of the Spotless Mind,8.3,108,2004,"Drama, Romance, Sci-Fi",https://www.imdb.com/title/tt0338013/
True,The Apartment,8.3,125,1960,"Comedy, Drama, Romance",https://www.imdb.com/title/tt0053604/
True,Le fabuleux destin d'Amélie Poulain,8.3,122,2001,"Comedy, Romance",https://www.imdb.com/title/tt0211915/
True,Vertigo,8.3,128,1958,"Mystery, Romance, Thriller",https://www.imdb.com/title/tt0052357/
True,Scarface,8.3,170,1983,"Crime, Drama",https://www.imdb.com/title/tt0086250/
True,Up,8.3,96,2009,"Animation, Adventure, Comedy, Drama, Family",https://www.imdb.com/title/tt1049413/
True,L.A. Confidential,8.2,138,1997,"Crime, Drama, Mystery, Thriller",https://www.imdb.com/title/tt0119488/
True,Taare Zameen Par,8.3,162,2007,"Drama, Family",https://www.imdb.com/title/tt0986264/
True,1917,8.2,119,2019,"Action, Drama, History, War",https://www.imdb.com/title/tt8579674/
True,Dangal,8.3,161,2016,"Action, Biography, Drama, Sport",https://www.imdb.com/title/tt5074352/
True,Batman Begins,8.2,140,2005,"Action, Crime, Drama",https://www.imdb.com/title/tt0372784/
True,The Wolf of Wall Street,8.2,180,2013,"Biography, Comedy, Crime, Drama",https://www.imdb.com/title/tt0993846/
True,Green Book,8.2,130,2018,"Biography, Comedy, Drama, Music",https://www.imdb.com/title/tt6966692/
True,Casino,8.2,178,1995,"Crime, Drama",https://www.imdb.com/title/tt0112641/
True,The Truman Show,8.2,103,1998,"Comedy, Drama",https://www.imdb.com/title/tt0120382/
True,Jurassic Park,8.2,127,1993,"Action, Adventure, Sci-Fi, Thriller",https://www.imdb.com/title/tt0107290/
True,A Beautiful Mind,8.2,135,2001,"Biography, Drama, Mystery",https://www.imdb.com/title/tt0268978/
True,No Country for Old Men,8.2,122,2007,"Crime, Drama, Thriller",https://www.imdb.com/title/tt0477348/
True,Kill Bill: Vol. 1,8.2,111,2003,"Action, Crime, Thriller",https://www.imdb.com/title/tt0266697/
True,Finding Nemo,8.2,100,2003,"Animation, Adventure, Comedy, Family",https://www.imdb.com/title/tt0266543/
True,Catch Me If You Can,8.1,141,2002,"Biography, Crime, Drama",https://www.imdb.com/title/tt0264464/
True,Mad Max: Fury Road,8.1,120,2015,"Action, Adventure, Sci-Fi, Thriller",https://www.imdb.com/title/tt1392190/
True,"Monsters, Inc.",8.1,92,2001,"Animation, Adventure, Comedy, Family, Fantasy",https://www.imdb.com/title/tt0198781/
True,Pirates of the Caribbean: The Curse of the Black Pearl,8.1,143,2003,"Action, Adventure, Fantasy",https://www.imdb.com/title/tt0325980/
True,It Happened One Night,8.1,105,1934,"Comedy, Romance",https://www.imdb.com/title/tt0025316/
True,28 Days Later...,7.5,113,2002,"Drama, Horror, Sci-Fi, Thriller",https://www.imdb.com/title/tt0289043/
True,28 Weeks Later,6.9,100,2007,"Horror, Sci-Fi",https://www.imdb.com/title/tt0463854/
True,The Hunger Games: Catching Fire,7.5,146,2013,"Action, Adventure, Sci-Fi, Thriller",https://www.imdb.com/title/tt1951264/
True,The Hunger Games: Mockingjay - Part 1,6.6,123,2014,"Action, Adventure, Sci-Fi, Thriller",https://www.imdb.com/title/tt1951265/
True,The Hunger Games: Mockingjay - Part 2,6.5,137,2015,"Action, Adventure, Sci-Fi, Thriller",https://www.imdb.com/title/tt1951266/
True,The Maze Runner,6.8,113,2014,"Action, Mystery, Sci-Fi, Thriller",https://www.imdb.com/title/tt1790864/
True,Allegiant,5.7,120,2016,"Action, Adventure, Mystery, Sci-Fi, Thriller",https://www.imdb.com/title/tt3410834/
True,Insurgent,6.2,119,2015,"Action, Adventure, Sci-Fi, Thriller",https://www.imdb.com/title/tt2908446/
True,Now You See Me,7.2,115,2013,"Crime, Mystery, Thriller",https://www.imdb.com/title/tt1670345/
True,The Fault in Our Stars,7.7,126,2014,"Drama, Romance",https://www.imdb.com/title/tt2582846/
True,Maze Runner: The Scorch Trials,6.3,131,2015,"Action, Adventure, Sci-Fi, Thriller",https://www.imdb.com/title/tt4046784/
True,Passengers,7.0,116,2016,"Drama, Romance, Sci-Fi, Thriller",https://www.imdb.com/title/tt1355644/
True,Now You See Me 2,6.4,129,2016,"Action, Adventure, Comedy, Crime, Mystery, Thriller",https://www.imdb.com/title/tt3110958/
True,Maze Runner: The Death Cure,6.3,143,2018,"Action, Adventure, Sci-Fi, Thriller",https://www.imdb.com/title/tt4500922/
True,Pirates of the Caribbean: Dead Men Tell No Tales,6.5,129,2017,"Action, Adventure, Fantasy",https://www.imdb.com/title/tt1790809/
True,Pirates of the Caribbean: Dead Man's Chest,7.4,151,2006,"Action, Adventure, Fantasy",https://www.imdb.com/title/tt0383574/
True,Pirates of the Caribbean: At World's End,7.1,169,2007,"Action, Adventure, Fantasy",https://www.imdb.com/title/tt0449088/
True,Pirates of the Caribbean: On Stranger Tides,6.6,137,2011,"Action, Adventure, Fantasy",https://www.imdb.com/title/tt1298650/
True,Ted,6.9,106,2012,Comedy,https://www.imdb.com/title/tt1637725/
True,Zombieland: Double Tap,6.7,99,2019,"Action, Comedy, Horror",https://www.imdb.com/title/tt1560220/
True,World War Z,7.0,116,2013,"Action, Adventure, Horror, Sci-Fi",https://www.imdb.com/title/tt0816711/
True,Shaun of the Dead,7.9,99,2004,"Comedy, Horror",https://www.imdb.com/title/tt0365748/
True,Deadpool,8.0,108,2016,"Action, Comedy",https://www.imdb.com/title/tt1431045/
True,Zombieland,7.5,88,2009,"Action, Comedy, Horror",https://www.imdb.com/title/tt1156398/
True,The Hunger Games,7.2,142,2012,"Action, Adventure, Sci-Fi, Thriller",https://www.imdb.com/title/tt1392170/
True,The Martian,8.0,144,2015,"Adventure, Drama, Sci-Fi",https://www.imdb.com/title/tt3659388/
True,Blade Runner 2049,8.0,164,2017,"Action, Drama, Mystery, Sci-Fi, Thriller",https://www.imdb.com/title/tt1856101/
True,Gravity,7.7,91,2013,"Drama, Sci-Fi, Thriller",https://www.imdb.com/title/tt1454468/
True,Edge of Tomorrow,7.9,113,2014,"Action, Adventure, Sci-Fi",https://www.imdb.com/title/tt1631867/
True,The Revenant,8.0,156,2015,"Action, Adventure, Drama, Western",https://www.imdb.com/title/tt1663202/
True,Life of Pi,7.9,127,2012,"Adventure, Drama, Fantasy",https://www.imdb.com/title/tt0454876/
True,In Time,6.7,109,2011,"Action, Sci-Fi, Thriller",https://www.imdb.com/title/tt1637688/
True,Divergent,6.6,139,2014,"Action, Adventure, Mystery, Sci-Fi",https://www.imdb.com/title/tt1840309/
True,Lucy,6.4,89,2014,"Action, Sci-Fi, Thriller",https://www.imdb.com/title/tt2872732/
True,Insidious,6.8,103,2010,"Horror, Mystery, Thriller",https://www.imdb.com/title/tt1591095/
True,Insidious: Chapter 2,6.5,106,2013,"Horror, Mystery, Thriller",https://www.imdb.com/title/tt2226417/
True,Insidious: The Last Key,5.7,103,2018,"Horror, Mystery, Thriller",https://www.imdb.com/title/tt5726086/
True,Insidious: Chapter 3,6.1,97,2015,"Horror, Mystery, Thriller",https://www.imdb.com/title/tt3195644/
True,It,7.3,135,2017,"Fantasy, Horror",https://www.imdb.com/title/tt1396484/
