Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
75,tt1483013,2024-06-16,2024-06-16,,"Oblivion","Oblivion",https://www.imdb.com/title/tt1483013/,Movie,7.0,124,2013,"Action, Adventure, Sci-Fi",555204,2013-04-12,"Joseph Kosinski",,
76,tt0053125,2024-06-16,2024-06-16,,"Gizli Teşkilât","North by Northwest",https://www.imdb.com/title/tt0053125/,Movie,8.3,136,1959,"Action, Adventure, Mystery, Thriller",347583,1962-01-02,"Alfred Hitchcock",,
77,tt0364569,2024-06-16,2024-06-16,,"İhtiyar Delikanlı","Oldeuboi",https://www.imdb.com/title/tt0364569/,Movie,8.3,120,2003,"Action, Drama, Mystery, Thriller",640111,2004-10-15,"Park Chan-wook",,
78,tt0064116,2024-06-16,2024-06-16,,"Batıda Kan Var","C'era una volta il West",https://www.imdb.com/title/tt0064116/,Movie,8.5,166,1968,"Drama, Western",350558,1972-11-27,"Sergio Leone",,
79,tt7131622,2024-06-16,2024-06-16,,"Bir Zamanlar... Hollywood'da","Once Upon a Time in... Hollywood",https://www.imdb.com/title/tt7131622/,Movie,7.6,161,2019,"Comedy, Drama",856169,2019-08-23,"Quentin Tarantino",,
80,tt0457430,2024-06-16,2024-06-16,,"Pan'ın Labirenti","El laberinto del fauno",https://www.imdb.com/title/tt0457430/,Movie,8.2,118,2006,"Drama, Fantasy, War",705346,2007-04-06,"Guillermo del Toro",,
81,tt0258000,2024-06-16,2024-06-16,,"Panik Odası","Panic Room",https://www.imdb.com/title/tt0258000/,Movie,6.8,112,2002,"Crime, Drama, Thriller",298156,2002-05-31,"David Fincher",,
82,tt0050825,2024-06-16,2024-06-16,,"Zafer Yolları","Paths of Glory",https://www.imdb.com/title/tt0050825/,Movie,8.4,88,1957,"Drama, War",213670,1957-12-25,"Stanley Kubrick",,
83,tt27503384,2024-06-16,2024-06-16,,"Mükemmel Günler","Perfect Days",https://www.imdb.com/title/tt27503384/,Movie,7.9,124,2023,"Drama",45919,2024-04-12,"Wim Wenders",,
84,tt1077258,2024-06-16,2024-06-16,,"Dehşet Gezegeni","Planet Terror",https://www.imdb.com/title/tt1077258/,Movie,7.0,105,2007,"Action, Comedy, Horror, Thriller",223946,2007-07-27,"Robert Rodriguez",,
85,tt0876563,2024-06-16,2024-06-16,,"Küçük Deniz Kızı Ponyo","Gake no ue no Ponyo",https://www.imdb.com/title/tt0876563/,Movie,7.6,101,2008,"Animation, Adventure, Comedy, Family, Fantasy",164963,2009-07-31,"Hayao Miyazaki",,
86,tt0104652,2024-06-16,2024-06-16,,"Kırmızı Kanatlar","Kurenai no buta",https://www.imdb.com/title/tt0104652/,Movie,7.7,94,1992,"Animation, Adventure, Comedy, Fantasy",103015,1992-07-18,"Hayao Miyazaki",,
87,tt0054215,2024-06-16,2024-06-16,,"Sapık","Psycho",https://www.imdb.com/title/tt0054215/,Movie,8.5,109,1960,"Horror, Mystery, Thriller",721983,1965-01,"Alfred Hitchcock",,
88,tt0081398,2024-06-16,2024-06-16,,"Kızgın Boğa","Raging Bull",https://www.imdb.com/title/tt0081398/,Movie,8.1,129,1980,"Biography, Drama, Sport",381972,1980-12-19,"Martin Scorsese",,
89,tt14230458,2024-06-16,2024-06-16,,"Zavallılar","Poor Things",https://www.imdb.com/title/tt14230458/,Movie,7.9,141,2023,"Comedy, Drama, Romance, Sci-Fi",274921,2024-02-09,"Yorgos Lanthimos",,
90,tt0259534,2024-06-16,2024-06-16,,"Ramayana: Prens Rama Efsanesi","Ramayana: The Legend of Prince Rama",https://www.imdb.com/title/tt0259534/,Movie,9.2,135,1993,"Animation, Action, Adventure, Drama, Fantasy, Musical, Romance",14796,1997-11-03,"Ram Mohan, Yûgô Sakô, Koichi Saski",,
91,tt0032976,2024-06-16,2024-06-16,,"Rebeka","Rebecca",https://www.imdb.com/title/tt0032976/,Movie,8.1,130,1940,"Drama, Mystery, Romance, Thriller",147412,1942-01-02,"Alfred Hitchcock",,
92,tt0047396,2024-06-16,2024-06-16,,"Arka Pencere","Rear Window",https://www.imdb.com/title/tt0047396/,Movie,8.5,112,1954,"Mystery, Thriller",524830,1954-08-01,"Alfred Hitchcock",,
